Job Title,Company Name,Location,Contract Type,Job Type,Published Days,Salary Range,Verified Status
Geospatial Data Scientist with expertise in remote sensing,GAF AG,München,Temporary contract,"Full Time, Home office possible",Published: 6 days ago,-1,-1
Data Scientist (m/f/d),Liebherr-Digital Development Center GmbH,Ulm,Permanent contract,Full Time,Published: 1 week ago,,-1
Data Scientist (m/f/d),Lloyds Bank – Bank of Scotland,Berlin,Permanent contract,"Full Time, Home office possible, Part time",Published: 2 weeks ago,,Verified
Senior Data Scientist,Coinbase Germany GmbH,"Berlin, Germany",Permanent contract,Full Time,Published: 3 hours ago,,-1
Data Scientist - Category Management und Pricing (m/w/d),Kaufland,Heilbronn,Permanent contract,"Full Time, Home office possible",Published: 1 day ago,,Verified
"Data Scientist (m/w/d) – Schwerpunkt Mathematik, Statistik & Naturwissenschaften",ISBA Informatik Service-GmbH,Hamburg,Permanent contract,"Full Time, Home office possible, Part time",Published: 19 hours ago,,Verified
Data Engineer / Data Scientist (m/w/d) Remote / NRW,PAKi Logistics GmbH,Ennepetal,Permanent contract,"Full Time, Home office possible",Published: 19 hours ago,,-1
Data Scientist (m/w/d) / Analyst Consultant (m/w/d),Rottendorf Pharma GmbH,Ennigerloh,Permanent contract,"Full Time, Home office possible",Published: 4 days ago,,Verified
Lead Data Scientist (f/m/d) AI and Forecasting,BMG RIGHTS MANAGEMENT GmbH - Corporate,Berlin,Permanent contract,"Full Time, Home office possible",Published: 2 weeks ago,,-1
Data Scientist (m/w/d) - Kunden & Vertrieb (befristet auf 1 Jahr),Wüstenrot & Württembergische AG,Kornwestheim,Temporary contract,"Full Time, Home office possible, Part time",Published: 1 day ago,-1,-1
Data Scientist (m/w/d) – Datenanalyse für Risikobewertung und Reporting,Sparkassen Rating und Risikosysteme GmbH,Berlin,Permanent contract,"Full Time, Home office possible",Published: 2 days ago,,-1
Data Scientist (m/w/d) für unser Controlling,DAMPSOFT GmbH,Damp,Permanent contract,Full Time,Published: 2 days ago,,Verified
Prompt Engineer / Data Scientist (m/w/d),LORENZ Life Sciences Group,Frankfurt am Main,Permanent contract,"Full Time, Home office possible",Published: 2 days ago,,-1
Data Scientist (m/w/d) zur Auswertung und Analyse von komplexen Messdaten,Rosenxt Group,Lingen (Ems),Permanent contract,"Full Time, Home office possible",Published: 1 week ago,,-1
Data Scientist Marketing (m/w/d),Dr. Ausbüttel & Co. GmbH,Dortmund,Permanent contract,Full Time,Published: 1 week ago,,Verified
Physiker (m/w/d) als Data Scientist / Algorithmenentwickler im Bereich EMAT,Rosen Technology & Research Center GmbH,"Lingen, Osnabrück",Permanent contract,"Full Time, Home office possible",Published: 1 week ago,,
Physiker (m/w/d) als Data Scientist / Algorithmenentwickler im Bereich Wirbelstrom,Rosen Technology & Research Center GmbH,"Lingen, Osnabrück",Permanent contract,"Full Time, Home office possible",Published: 1 week ago,,-1
Data Scientist mit Schwerpunkt Engineering (m/w/d),Ypsomed Produktion GmbH,Schwerin,Permanent contract,"Full Time, Home office possible",Published: 1 week ago,,-1
Data Scientist (m/w/d) - Customer and Sales,Wüstenrot & Württembergische AG,Kornwestheim,Permanent contract,"Full Time, Home office possible, Part time",Published: 1 week ago,,-1
Data Scientist (m/w/d),RP Digital GmbH,Düsseldorf,Permanent contract,"Full Time, Home office possible, Part time",Published: 1 week ago,,-1
Data Scientist (m/w/d),nobilia-Werke J. Stickling GmbH & Co. KG,Verl,Permanent contract,Full Time,Published: 1 week ago,,-1
Data Scientist (w/m/d),Karlsruher Institut für Technologie (KIT),Karlsruhe,Permanent contract,"Full Time, Home office possible",Published: 1 week ago,,-1
Data Scientist (m/w/d),NOWEDA Apothekergenossenschaft eG,Essen,Permanent contract,"Full Time, Home office possible",Published: 1 week ago,,-1
Produktionscontroller / Data Analyst / Data Scientist m/w/d,JACKON Insulation GmbH,"Arendsee (Altmark), Mechau, Steinhagen",Permanent contract,"Full Time, Home office possible",Published: 1 week ago,,Verified
Data Scientist (m/w/d) Schwerpunkt KI,PreZero Service Deutschland GmbH & Co. KG,Wesseling,Permanent contract,"Full Time, Home office possible",Published: 1 week ago,,Verified
Data Scientist (m/w/d) im Finanzbereich (Document Understanding),BMS Corporate Solutions GmbH,"Düsseldorf, Home-Office",Permanent contract,Full Time,Published: 1 week ago,,-1
Data Scientist AI Lab (gn) Vollzeit/Teilzeit,DKV Mobility Group SE,Ratingen,Permanent contract,"Full Time, Home office possible, Part time",Published: 1 week ago,,-1
Data Scientist Versicherungsmathematik / Aktuar (m/w/d),ARAG SE,Düsseldorf,Permanent contract,"Full Time, Home office possible",Published: 2 weeks ago,,Verified
Data Scientist KI & LLM (m/w/d),Allgeier IT GmbH,Hamburg,Permanent contract,"Full Time, Home office possible",Published: 1 week ago,,-1
Senior Data Scientist / Data Engineer Capital Markets m/w/d,DZ BANK AG,Frankfurt am Main,Permanent contract,"Full Time, Home office possible",Published: 1 week ago,,-1
Data Scientist / AI Developer (m/w/d),BRUNO BADER GmbH + Co. KG,Pforzheim,Permanent contract,"Full Time, Home office possible",Published: 1 day ago,,Verified
Lead Data Scientist (m/w/d),AP Sensing GmbH,Böblingen bei Stuttgart,Permanent contract,"Full Time, Home office possible",Published: 6 days ago,,Verified
Senior Data Scientist / Senior AI Engineer (mwd),HMS Analytical Software GmbH,Berlin,Permanent contract,"Full Time, Home office possible, Part time",Published: 2 weeks ago,,-1
"Data Engineers, Analysts & Scientists (w|m|d)",BridgingIT GmbH,"Hamburg, Köln, Mannheim, München, Nürnberg, Stuttgart",Permanent contract,"Full Time, Home office possible, Part time",Published: 2 weeks ago,,Verified
(Senior) Data Scientist (gn) with Spanish language skills,Control Expert GmbH,Düsseldorf,Permanent contract,"Full Time, Home office possible",Published: 2 weeks ago,,Verified
Data Scientist (m/w/d) - Data Analytics Expert,Ratbacher GmbH,Bielefeld,Permanent contract,"Full Time, Home office possible",Published: 5 days ago,,Verified
AI-/KI-Developer & Data Scientist (m/w/d),NEW AG,Mönchengladbach,Permanent contract,"Full Time, Home office possible",Published: 1 week ago,,-1
Principal Data Scientist | Pricing,OLX Group GmbH,"Berlin, Germany",Permanent contract,"Full Time, Home office possible",Published: 1 day ago,,-1
Data Scientist / Machine Learning Engineer (m/w/d) Mobilfunk,CHECK24,Köln,Permanent contract,"Full Time, Home office possible",Published: 4 weeks ago,,Verified
Full-time Data Scientist,Exaloan AG,"Frankfurt, Germany",Permanent contract,Full Time,Published: 3 days ago,,-1
"Data Scientist (m/f/d) job at PAUL Tech AG in Mannheim, BADEN-WüRTTEMBERG",PAUL Tech AG,"68 Mannheim, Germany",Permanent contract,Full Time,Published: 3 days ago,,-1
Data Scientist / Data Engineer (m/w/d),Amadeus Fire AG,"Frankfurt, Hamburg, Köln, Düsseldorf",Permanent contract,"Full Time, Home office possible",Published: 1 week ago,,-1
Hybrid Student Data Scientist (m/f/d) na RELX,ICIS,"Karlsruhe, Germany","Student job, Industrial placement student",Part time,Published: 3 days ago,-1,-1
Data Scientist / AI Engineer (mwd),HMS Analytical Software GmbH,"Berlin, Home-Office, bundesweit",Permanent contract,"Full Time, Home office possible, Part time",Published: 2 weeks ago,,-1
Vollzeit: Data Scientist bei InnoGames GmbH,InnoGames GmbH,"Hamburg, Germany",Permanent contract,"Full Time, Home office possible",Published: 6 days ago,,-1
Full-time: Data Scientist at InnoGames GmbH,InnoGames GmbH,"Hamburg, Germany",Permanent contract,"Full Time, Home office possible, Part time",Published: 6 days ago,,-1
Hybrid Student Data Scientist (m/f/d) bei RELX,ICIS,"Karlsruhe, Germany","Student job, Industrial placement student",Part time,Published: 1 week ago,-1,-1
Senior Data Scientist mit Schwerpunkt Ökonometrie/ Predictive Analytics (gn*),Ernsting’s family,Coesfeld-Lette bei Münster,Permanent contract,"Full Time, Home office possible",Published: 5 hours ago,,-1
Senior Data Scientist (m/w/d),S-Payment GmbH - Ein Unternehmen der DSV-Gruppe,Berlin,Permanent contract,"Full Time, Home office possible",Published: 6 hours ago,,-1
Senior Data Scientist (m/w/d),S-Payment GmbH - Ein Unternehmen der DSV-Gruppe,"Stuttgart, Frankfurt am Main",Permanent contract,"Full Time, Home office possible",Published: 6 hours ago,,-1
Hybrid Student Data Scientist (m/f/d) bei LexisNexis® Risk Solutions,ICIS,"Karlsruhe, Germany","Student job, Industrial placement student",Part time,Published: 1 week ago,-1,-1
Senior Data Scientist – Machine Learning (Pricing & Risikoanalyse) (w/m/d),HUK-COBURG Versicherungsgruppe,Coburg,Permanent contract,"Full Time, Home office possible, Part time",Published: 17 hours ago,,-1
Full-Stack Data Analytics/Data Science Expert im Competence Center Digital Accelerator (d/m/w/x),Mercedes-Benz AG,Stuttgart,Permanent contract,"Full Time, Home office possible, Part time",Published: 3 days ago,-1,-1
Senior Full-Stack Data Analytics/Data Science Expert im Competence Center Digital Accelerator (d/m/w/x),Mercedes-Benz AG,Stuttgart,Permanent contract,"Full Time, Home office possible, Part time",Published: 3 days ago,-1,-1
Senior Applied Data Scientist (Remote from EU) job at Pricehubble in Berlin,PriceHubble,"Berlin, Germany",Permanent contract,"Full Time, Home office possible",Published: 4 days ago,,-1
"Senior Applied Data Scientist job at Pricehubble in Berlin, BERLIN",PriceHubble,"Berlin, Germany",Permanent contract,"Full Time, Home office possible",Published: 4 days ago,,-1
(Senior) Data Scientist im Bereich Product Governance (m/w/d),Baader Bank AG,Unterschleißheim bei München,Permanent contract,"Full Time, Home office possible",Published: 3 days ago,,-1
(Senior) Data Scientist – Telematik (w/m/d),HUK-COBURG Versicherungsgruppe,Coburg,Permanent contract,"Full Time, Part time",Published: 1 week ago,,-1
(Senior) Data Scientist Analytics (m/w/d),REWE Group,Köln,Permanent contract,"Full Time, Home office possible",Published: 1 week ago,,Verified
Senior Data Scientist (m/w/d),justtrack GmbH,Hamburg,Permanent contract,"Full Time, Home office possible",Published: 1 week ago,,-1
Senior Data Scientist – Quantitatives Portfoliomanagement (w/m/d),HUK-COBURG Versicherungsgruppe,Coburg,Permanent contract,Full Time,Published: 1 week ago,,-1
(Senior) Data Scientist (gn) Internationales Team,Control Expert GmbH,Langenfeld,Permanent contract,"Full Time, Home office possible",Published: 2 weeks ago,,Verified
Senior Data Scientist * Generative AI,valantic Software & Technology Innovations GmbH,Eschborn (bei Frankfurt),Permanent contract,"Full Time, Home office possible",Published: 2 weeks ago,,Verified
(Senior) Data Scientist (m/w/d) InsurTech,CHECK24,Hamburg,Permanent contract,"Full Time, Home office possible",Published: 2 weeks ago,,Verified
Data Scientist job at Innogames in Hamburg,Innogames,20095 Hamburg DE,Permanent contract,"Full Time, Home office possible",Published: 6 hours ago,,-1
Senior Data Scientist (m/w/d) – Risikomodelle,Sparkassen Rating und Risikosysteme GmbH,Berlin,Permanent contract,"Full Time, Home office possible",Published: 3 weeks ago,,-1
(Principal) Data Scientist,Gemma Analytics GmbH,Berlin,Permanent contract,Full Time,Published: 5 days ago,,-1
Data Scientist - Berlin (all genders),Digitl GmbH,Berlin,Permanent contract,"Full Time, Home office possible",Published: 1 week ago,,-1
Data Scientist - Munich (all genders),Digitl GmbH,Munich,Permanent contract,"Full Time, Home office possible",Published: 1 week ago,,-1
Data Scientist - Hamburg (all genders),Digitl GmbH,Hamburg,Permanent contract,"Full Time, Home office possible",Published: 1 week ago,,-1
Data Scientist - AI Agents & Generative AI (f/m/d)*,Parloa GmbH,Berlin,Permanent contract,Full Time,Published: 1 week ago,,-1
Project Manager Data Science & Engineering m/w/d,Phoenix Contact GmbH & Co. KG,Blomberg,Permanent contract,"Full Time, Home office possible",Published: 1 week ago,,Verified
Hybrid Senior Data Scientist (Commodity Markets) (m/f/d) bei RELX,ICIS,"Karlsruhe, Germany",Permanent contract,Full Time,Published: 4 days ago,,-1
Senior Data Scientist - AI Agents & Generative AI (f/m/d)*,Parloa GmbH,Berlin,Permanent contract,Full Time,Published: 1 week ago,,-1
(Senior) Data Scientist,anacision GmbH,"Karlsruhe, Germany",Permanent contract,Full Time,Published: 1 week ago,,-1
Senior Data Scientist- Optimization (d/f/m),Entrix GmbH,"Munich, Germany",Permanent contract,"Full Time, Part time",Published: 1 week ago,,-1
(Senior) Data Scientist (m/f/d) in Mannheim,PAUL Tech AG,"Mannheim, Germany",Permanent contract,Full Time,Published: 1 week ago,,-1
(Senior) Data Scientist (m/f/d) in Berlin,PAUL Tech AG,"Berlin, Germany",Permanent contract,Full Time,Published: 1 week ago,,-1
Senior Data Scientist (f/m/d) job at Cinemo GmbH in Karlsruhe,Cinemo GmbH,"Karlsruhe, Germany",Permanent contract,Full Time,Published: 1 week ago,,-1
Data Science Expert (m/f/d),appose GmbH,"Heidelberg, Germany",Permanent contract,Full Time,Published: 1 week ago,,-1
Lead Data Scientist (m/f/d),EIDU GmbH,Berlin,Permanent contract,"Full Time, Home office possible",Published: 2 weeks ago,,-1
Data Strategy Manager (all genders) (Data Scientist),BORA - Lüftungstechnik GmbH,Kiefersfelden,Permanent contract,Full Time,Published: 1 day ago,,-1
Advisor Business Intelligence (m/f/d),TenneT TSO GmbH,"Bayreuth, Lehrte bei Hannover",Permanent contract,"Full Time, Home office possible",Published: 1 week ago,,-1
Data Scientist (aGw*) (Data Scientist),Lindner SE,Arnstorf,Permanent contract,"Full Time, Home office possible",Published: 4 days ago,,-1
Senior Data Scientist – Marketing Science,On Cloud Service GmbH,"Berlin, Germany",Permanent contract,Full Time,Published: 1 week ago,,-1
Data Scientist (m/w/d),Agap2 Mannheim,"Mannheim, Deutschland",Permanent contract,Full Time,Published: 4 days ago,,-1
Marketing Analyst,trivago N.V.,Düsseldorf,Permanent contract,"Full Time, Home office possible",Published: 1 week ago,,-1
Data Scientist (w/m/d),PSI Technics GmbH,Winningen Mosel,Permanent contract,"Full Time, Part time",Published: 1 week ago,,-1
"Chief Data Engineer, Data Platforms & Engineering Solutions (x/f/m)",DHL Data & Analytics GmbH,Bonn,Permanent contract,"Full Time, Home office possible",Published: 1 week ago,,-1
SAP Analytics Expert (gn*),Ernsting’s family,Coesfeld-Lette bei Münster,Permanent contract,Full Time,Published: 5 days ago,,-1
"Aktuar*in/ Mathematiker*in/ Statistiker*in – Risikomodellierung, Pricing und Methodenentwicklung",Gothaer Konzern,Köln,Permanent contract,"Full Time, Home office possible",Published: 3 days ago,,Verified
Duales Studium im Bereich Digitale Technologien (Bachelor of Engineering) (m/w/d),Stiebel Eltron GmbH & Co.KG,Holzminden bei Höxter,"Apprenticeship, Studies",Full Time,Published: 3 days ago,-1,-1
Informatiker*in (w/m/d) als Sachgebietsleitung,Stadt Norderstedt,Norderstedt,Permanent contract,"Full Time, Part time",Published: 2 days ago,,-1
Aktuar Pricing für Kraftfahrt- und Motorversicherung (m/w/d),ERGO Group AG,Düsseldorf,Permanent contract,"Full Time, Home office possible, Part time",Published: 2 days ago,,Verified
Senior Cloud Data Engineer (m/w/d),Hays – Interne Karriere bei Uns,"Hamburg, Stuttgart, Mannheim, Frankfurt am Main, Berlin, München, Köln, Wiesbaden",Permanent contract,"Full Time, Home office possible",Published: 4 days ago,,Verified
Abschlussarbeit (w/m/d) AI & Accessibility in Kartenanwendungen,con terra GmbH,Münster,Bachelor dissertation / Master thesis,"Full Time, Part time",Published: 1 day ago,-1,-1
SAP Analytics Architect (gn*),Ernsting’s family,Coesfeld-Lette bei Münster,Permanent contract,"Full Time, Home office possible",Published: 5 days ago,,-1
Senior Data Scientist - Pricing Team (m / f / d),Omio Travel GmbH,Berlin,Permanent contract,Full Time,Published: 1 week ago,,-1
(Senior)Machine Learning Data Scientist(d/f/m),Entrix GmbH,Munich,Permanent contract,"Full Time, Part time",Published: 1 week ago,,-1
Analyst (m/w/d) Krankenhausvollversorgung,Sana Einkauf & Logistik GmbH,bundesweit,Permanent contract,Full Time,Published: 19 hours ago,,-1
